eps,min_samples,n_clusters,n_noise,silhouette,labels
2.5,5,57,8156,-0.08361274927725794,[0 0 0 ... 0 0 0]
2.5,10,7,12208,0.18329656067875014,[0 0 0 ... 0 0 0]
2.5,15,7,15526,0.15811209041461025,[0 0 0 ... 0 0 0]
2.5,18,10,17495,0.1263160716249289,[0 0 0 ... 0 0 0]
2.7,5,11,2908,0.15502797288195003,[0 0 0 ... 0 0 0]
2.7,10,12,4620,0.31870534941266404,[0 0 0 ... 0 0 0]
2.7,15,3,6018,0.5224721931892072,[0 0 0 ... 0 0 0]
2.7,18,4,6697,0.3361202525689079,[0 0 0 ... 0 0 0]
3.0,5,4,682,0.5598295569570103,[0 0 0 ... 0 0 0]
3.0,10,4,995,0.29339430352719614,[0 0 0 ... 0 0 0]
3.0,15,3,1258,0.5545236829433603,[0 0 0 ... 0 0 0]
3.0,18,3,1438,0.5672007831481871,[0 0 0 ... 0 0 0]
3.2,5,3,281,0.6122656230901542,[0 0 0 ... 0 0 0]
3.2,10,3,424,0.6018637376774769,[0 0 0 ... 0 0 0]
3.2,15,3,522,0.5887074713431254,[0 0 0 ... 0 0 0]
3.2,18,4,572,0.2908565802864401,[0 0 0 ... 0 0 0]
3.5,5,3,88,0.6315999238507697,[0 0 0 ... 0 0 0]
3.5,10,3,134,0.6435131384447819,[0 0 0 ... 0 0 0]
3.5,15,3,162,0.6452480425386755,[0 0 0 ... 0 0 0]
3.5,18,3,179,0.6449757502219782,[0 0 0 ... 0 0 0]
